Id,Name,Applications__c,Brand_Name__c,Chemical_Name__c,Applicants__c,Funding_requested_for__c,Stage__c,Pharmaceutical__c,Community_URL__c,Therapeutic_group__c
a0ROZ00000Daagb2AB,Captopril,A-04731,Captopril,Captopril,Clinician,Requesting for use to control high blood pressure during Autonomic dysreflexia in patients with spinal cord injury.,Seeking Clinical Advice,Captopril (Captopril),/apptracker/s/application-public/a10OZ0000001HBh,Cardiovascular System
a0R2P000000LmbeUAC,Carvedilol,A-00103,Dilatrend,Carvedilol,Roche,Heart failure (first line access),Decision,Carvedilol (Dilatrend),/apptracker/s/application-public/a102P000008pu9s,Cardiovascular System
a0R2P000000LmcFUAS,Carvedilol,A-01207,Dilatrend,Carvedilol,Roche,Heart failure (as an adjunct to conventional treatments),Decision,Carvedilol (Dilatrend),/apptracker/s/application-public/a102P000008pu7w,Cardiovascular System
a0ROZ000006i97N2AQ,Empagliflozin,A-04118,Jardiance®,Empagliflozin,Boehringer Ingelheim,"Chronic heart failure, NYHA II-IV and LVEF ≤40%",Decision,Empagliflozin (Jardiance®),/apptracker/s/application-public/a102P00000BNybx,Cardiovascular System
a0ROZ00000DabzG2AR,Empagliflozin,A-04541,Jardiance®,Empagliflozin,Boehringer Ingelheim,"Chronic heart failure, NYHA II-IV and LVEF >40%",Under Assessment,Empagliflozin (Jardiance®),/apptracker/s/application-public/a102P00000BY4ly,Cardiovascular System
a0ROZ000000PXiO2AW,Eplerenone,A-00738,Inspra,Eplerenone,Clinician,"Hypertension, treatment refractory, intolerant to spironolactone",Options Compared,Eplerenone (Inspra),/apptracker/s/application-public/a102P000008puD9,Cardiovascular System
a0ROZ0000008Zjl2AE,Eplerenone,A-00436,Inspra,Eplerenone,Te Arai Biofarma,"Heart failure: ejection fraction <40%, and intolerant to optimal dosing of spironolactone",Decision,Eplerenone (Inspra),/apptracker/s/application-public/a102P000008pu0j,Cardiovascular System
a0R2P000000anI8UAI,Eplerenone,A-00403,,Eplerenone,Te Arai Biofarma,"Heart failure: ejection fraction <=40%, and diabetes or a risk of diabetes",Decision,Eplerenone,/apptracker/s/application-public/a102P000008ptpa,Cardiovascular System
a0ROZ000003FUKD2A4,Eplerenone,A-00800 A-04942,Inspra,Eplerenone,Clinician,Primary aldosteronism; intolerant to spironolactone,Options Compared,Eplerenone (Inspra),/apptracker/s/application-public/a102P000008puaw,Cardiovascular System
a0R2P000000Lmb0UAC,Epoprostenol,A-00310,Veletri,Epoprostenol,Actelion,Pulmonary arterial hypertension,Decision,Epoprostenol (Veletri),/apptracker/s/application-public/a102P000008puTI,Cardiovascular System
a0ROZ0000009XeH2AU,"Epoprostenol, intravenous",A-00441,Veletri,"Epoprostenol, intravenous",Clinician,"Pulmonary arterial hypertension, widening access",Decision,"Epoprostenol, intravenous (Veletri)",/apptracker/s/application-public/a102P000008pufB,Cardiovascular System
a0R2P000000anVlUAI,Evolocumab,A-00719,,Evolocumab,Amgen,Familial hypercholesterolaemia,Decision,Evolocumab,/apptracker/s/application-public/a102P000008pu1G,Cardiovascular System
a0ROZ0000007fEX2AY,Ezetimibe,A-00828,Ezetrol,Ezetimibe,Merck Sharp & Dohme,Hyperlipidemia,Decision,Ezetimibe (Ezetrol),/apptracker/s/application-public/a102P000008ptyh,Cardiovascular System
a0R2P000000MTdOUAW,Fenofibrate,A-01046,,Fenofibrate,Clinician,Hyperlipidemia,Decision,Fenofibrate,/apptracker/s/application-public/a102P000008puie,Cardiovascular System
a0ROZ00000Dhhmz2AB,Furosemide 20mg tablets,A-00653,,Furosemide 20mg tablets,Clinician,Paediatric congenital heart disease,Reviewing Consultation Feedback,Furosemide 20mg tablets,/apptracker/s/application-public/a102P000008puk8,Cardiovascular System
a0R2P000000LmVLUA0,Glyceryl trinitrate spray,A-01199,Glytrin,Glyceryl trinitrate spray,AFT Pharmaceuticals,Angina,Decision,Glyceryl trinitrate spray (Glytrin),/apptracker/s/application-public/a102P000008ptys,Cardiovascular System
a0R2P000000LmqSUAS,Iloprost,A-00848,Ilomedin,Iloprost,Schering,Pulmonary Arterial Hypertension (PAH),Decision,Iloprost (Ilomedin),/apptracker/s/application-public/a102P000008puDE,Cardiovascular System
a0ROZ00000DKzXi2AL,International Normalized Ratio (INR) point-of-care coagulometers and test strips,A-04330 A-04780,Roche CoaguChek® XS system,International Normalized Ratio (INR) point-of-care coagulometers and test strips,"Clinician, Consumer","Rheumatic heart disease, implanted mechanical heart valve, long-term anticoagulation management with warfarin",Seeking Clinical Advice,International Normalized Ratio (INR) point-of-care coagulometers and test strips (Roche CoaguChek® XS system),/apptracker/s/application-public/a102P00000BYAWY,Cardiovascular System
a0R2P000000anb0UAA,Ivabradine,A-00571 A-00572,,Ivabradine,"Te Arai Biofarma, Clinician",Chronic heart failure,Decision,Ivabradine,/apptracker/s/application-public/a102P000008puMW,Cardiovascular System
a0R2P000000LmfPUAS,Ivabradine,A-00453,,Ivabradine,Clinician,Dose prior to computed tomography coronary angiography,Decision,Ivabradine,/apptracker/s/application-public/a102P000008ptoc,Cardiovascular System
a0R2P000000LmWeUAK,Losartan,A-00959,,Losartan,Clinician,Gout,Decision,Losartan,/apptracker/s/application-public/a102P000008ptxo,Cardiovascular System
a0ROZ000004nOoW2AU,Macitentan,A-00312 A-05000,Opsumit,Macitentan,"Actelion, JANSSEN NZ LIMITED",Pulmonary arterial hypertension,Options Compared,Macitentan (Opsumit),/apptracker/s/application-public/a102P000008puIy,Cardiovascular System
a0ROZ000008veQj2AI,Mavacamten,A-05315 A-05264,Camzyos®,Mavacamten,"BRISTOL-MYERS SQUIBB (NZ) LIMITED, Clinician","Obstructive hypertrophic cardiomyopathy, symptomatic, 2nd line. ",Seeking Clinical Advice,Mavacamten (Camzyos®),/apptracker/s/application-public/a10OZ000004RHLp,Cardiovascular System
a0R2P000000LmcDUAS,Metolazone,A-00354,"Metolazone,Zaroxolyn",Metolazone,Subcommittee recommendation,Paediatrics with loop diversion and refractory nephrotic oedema,Decision,"Metolazone (Metolazone,Zaroxolyn)",/apptracker/s/application-public/a102P000008pu6t,Cardiovascular System
a0R2P000000LmiyUAC,Mexiletine Hydrochloride,A-01237,,Mexiletine Hydrochloride,NPPA,Open listing,Decision,Mexiletine Hydrochloride,/apptracker/s/application-public/a102P000008puDq,Cardiovascular System
a0R2P000000LmiJUAS,Multiple PAH therapies,A-00440,,Multiple PAH therapies,Clinician,"Pulmonary arterial hypertension, widening access",Decision,Multiple PAH therapies,/apptracker/s/application-public/a102P000008puDf,Cardiovascular System
a0R2P000000Lpv5UAC,Nicardipine hydrochloride,A-00666,Any,Nicardipine hydrochloride,Clinician,Perioperative use as antihypertensive / vasodilator for adults,Decision,Nicardipine hydrochloride (Any),/apptracker/s/application-public/a102P000008puU2,Cardiovascular System
a0R2P000000LmUyUAK,Nicorandil,A-01232,,Nicorandil,NPPA,Angina - refractory,Decision,Nicorandil,/apptracker/s/application-public/a102P000008ptxF,Cardiovascular System
a0R2P000000LmmWUAS,"PDE5 inhibitors  - Alprostadil, Sildenafil, Tadalafil",A-00234,,"PDE5 inhibitors  - Alprostadil, Sildenafil, Tadalafil",Clinician,Erectile dysfunction in spinal cord injury patients,Decision,"PDE5 inhibitors  - Alprostadil, Sildenafil, Tadalafil",/apptracker/s/application-public/a102P000008pu1X,Cardiovascular System
a0ROZ00000AqQQV2A3,Quinidine Bisulphate,A-00464,Kinidin Durules,Quinidine Bisulphate,Subcommittee recommendation,Brugada syndrome,Options Compared,Quinidine Bisulphate (Kinidin Durules),/apptracker/s/application-public/a102P000008ptxp,Cardiovascular System
a0R2P000000bnF9UAI,Ramipril,A-00664,,Ramipril,Subcommittee recommendation,Open listing (ACE inhibitor),Decision,Ramipril,/apptracker/s/application-public/a102P000008puSl,Cardiovascular System
a0R2P000000aneJUAQ,Ranolazine,A-00287,,Ranolazine,Clinician,"Angina, where nicorandil or perhexiline has failed",Decision,Ranolazine,/apptracker/s/application-public/a102P000008puWG,Cardiovascular System
a0R2P000000OcefUAC,Ranolazine,A-01247,,Ranolazine,Clinician,"Angina, first-line",Decision,Ranolazine,/apptracker/s/application-public/a102P000008puU3,Cardiovascular System
a0R2P000000ezAEUAY,Rivaroxaban,A-03283,XARELTO®,Rivaroxaban,BAYER NEW ZEALAND LIMITED,Prevention of major cardiovascular events,Under Assessment,Rivaroxaban (XARELTO®),/apptracker/s/application-public/a102P00000AEKCR,Cardiovascular System
a0R2P000000aXFOUA2,Rosuvastatin,A-00252 A-03882 A-03904,Crestor,Rosuvastatin,"AstraZeneca, Consumer",Hypercholesterolemia / cardiovascular risk (3rd-line statin treatment),Decision,Rosuvastatin (Crestor),/apptracker/s/application-public/a102P000008ptvc,Cardiovascular System
a0ROZ0000077fjx2AA,Selexipag,A-00683 A-04905 A-05001,,Selexipag,"Actelion, JANSSEN NZ LIMITED, Consumer",Pulmonary arterial hypertension - triple therapy,Under Assessment,Selexipag,/apptracker/s/application-public/a102P000008puAq,Cardiovascular System
a0ROZ000004PMW52AO,Selexipag,A-00682 A-04905 A-05001,,Selexipag,"Actelion, JANSSEN NZ LIMITED, Consumer",Pulmonary arterial hypertension - monotherapy,Under Assessment,Selexipag,/apptracker/s/application-public/a102P000008puLz,Cardiovascular System
a0ROZ000004PMSr2AO,Selexipag,A-00458 A-04905 A-05001,,Selexipag,"Actelion, JANSSEN NZ LIMITED, Consumer",Pulmonary arterial hypertension - dual therapy,Under Assessment,Selexipag,/apptracker/s/application-public/a102P000008ptpc,Cardiovascular System
a0R2P000000LmlUUAS,Sildenafil,A-00980,Viagra,Sildenafil,Clinician,Pulmonary arterial hypertension (PAH) secondary to other lung disease,Decision,Sildenafil (Viagra),/apptracker/s/application-public/a102P000008pukb,Cardiovascular System
a0R2P000000LmjVUAS,Sildenafil,A-00979,,Sildenafil,Clinician,Pulmonary arterial hypertension (PAH) secondary to chronic lung disease (CLD) in neonates/infants,Decision,Sildenafil,/apptracker/s/application-public/a102P000008puhY,Cardiovascular System
a0R2P000000LmjIUAS,Sildenafil,A-00957,,Sildenafil,Clinician,Pulmonary arterial hypertension (PAH) secondary to congenital diaphragmatic hernia (CDH) in neonates,Decision,Sildenafil,/apptracker/s/application-public/a102P000008pud7,Cardiovascular System
a0R2P000000Lmh6UAC,Sildenafil,A-00860,Revatio,Sildenafil,Pfizer,Pulmonary Arterial Hypertension,Decision,Sildenafil (Revatio),/apptracker/s/application-public/a102P000008ptuP,Cardiovascular System
a0R2P000000Lmg5UAC,Sildenafil,A-01290,,Sildenafil,Clinician,Perioperative cardiac surgery,Decision,Sildenafil,/apptracker/s/application-public/a102P000008ptoo,Cardiovascular System
a0R2P000000LmpAUAS,Sildenafil,A-00988,,Sildenafil,Clinician,Post-Fontan Repair in neonates/infants,Decision,Sildenafil,/apptracker/s/application-public/a102P000008pu31,Cardiovascular System
a0R2P000000LmnlUAC,"Sildenafil, intravenous",A-00431,,"Sildenafil, intravenous",Clinician,Pulmonary hypertension pre/post cardiac surgery,Decision,"Sildenafil, intravenous",/apptracker/s/application-public/a102P000008ptsS,Cardiovascular System
a0ROZ000002nZec2AE,"Sildenafil, Tadalafil",A-04815,Various,"Sildenafil, Tadalafil",Consumer,"PDE5 inhibitors ,Erectile dysfunction, following prostate cancer treatment",Under Assessment,"Sildenafil, Tadalafil (Various)",/apptracker/s/application-public/a10OZ000000AjBx,Cardiovascular System
a0R2P000000LmjXUAS,Simvastatin and ezetimibe,A-00987,"Arrow-Simva,Ezetrol",Simvastatin and ezetimibe,Merck Sharp & Dohme,"Hyperlipidemia (widen access, combination therapy)",Decision,"Simvastatin and ezetimibe (Arrow-Simva,Ezetrol)",/apptracker/s/application-public/a102P000008pudR,Cardiovascular System
a0ROZ00000DKzXh2AL,Tadalafil,A-03183,"Cialis, Adcirca, Tadalafil Mylan",Tadalafil,Clinician,Peri operative use in patients with pulmonary hypertension undergoing cardiac surgery ,Seeking Clinical Advice,"Tadalafil (Cialis, Adcirca, Tadalafil Mylan)",/apptracker/s/application-public/a102P000009fETx,Cardiovascular System
a0ROZ000000VUrS2AW,Tafamidis,A-00727,,Tafamidis,Clinician,Cardiac amyloidosis,Under Assessment,Tafamidis,/apptracker/s/application-public/a102P000008puVW,Cardiovascular System
a0R2P000000OcekUAC,Telmisartan,A-00115,Micardis,Telmisartan,Boehringer Ingelheim,Hypertension,Decision,Telmisartan (Micardis),/apptracker/s/application-public/a102P000008pu4J,Cardiovascular System
a0ROZ000008Nz2z2AC,Asciminib,A-04626,SCEMBLIX,Asciminib,NOVARTIS NEW ZEALAND LIMITED,"Philadelphia chromosome-positive chronic myeloid leukaemia in chronic phase, previously treated with two or more tyrosine kinase inhibitors",Under Assessment,Asciminib (SCEMBLIX),/apptracker/s/application-public/a10OZ000000szzN,
a0ROZ00000BV7mr2AD,Dabrafenib,A-00281,,Dabrafenib,NOVARTIS NEW ZEALAND LIMITED,"Melanoma, stage III/IV with BRAF V600 mutation",Reviewing Consultation Feedback,Dabrafenib,/apptracker/s/application-public/a102P000008pu2y,Oncology Agents and Immunosuppressants
a0ROZ0000094ezN2AQ,Dabrafenib and trametinib,A-00405 A-04762,"Mekinist,Tafinlar",Dabrafenib and trametinib,"NOVARTIS NEW ZEALAND LIMITED, Clinician","Melanoma, stage III/IV with BRAF V600 mutation",Decision,"Dabrafenib and trametinib (Mekinist,Tafinlar)",/apptracker/s/application-public/a102P000008pu5U,Oncology Agents and Immunosuppressants
a0R2P000000Lml4UAC,Deferasirox,A-01545,Exjade,Deferasirox,Novartis,Chronic iron overload in congenital anaemia - intolerant to deferiprone,Decision,Deferasirox (Exjade),/apptracker/s/application-public/a102P000008puij,Blood and Blood Forming Organs
a0R2P000000LmY8UAK,Deferasirox,A-00838,Exjade,Deferasirox,Novartis,Chronic iron overload in congenital anaemia - contraindicated to deferiprone,Decision,Deferasirox (Exjade),/apptracker/s/application-public/a102P000008puWZ,Blood and Blood Forming Organs
a0R2P000000LmisUAC,Eformoterol,A-01205,Foradil,Eformoterol,Novartis,Chronic obstructive pulmonary disease (COPD),Decision,Eformoterol (Foradil),/apptracker/s/application-public/a102P000008puF0,Respiratory System and Allergies
a0R2P000000ane0UAA,Everolimus,A-01303,Certican,Everolimus,Novartis,Rejection of renal/cardiac transplants - preventative,Decision,Everolimus (Certican),/apptracker/s/application-public/a102P000008puWW,Oncology Agents and Immunosuppressants
a0R2P000000MTgzUAG,Everolimus,A-01070,Afinitor,Everolimus,Novartis,Metastatic renal cell carcinoma - second line therapy,Decision,Everolimus (Afinitor),/apptracker/s/application-public/a102P000008puKM,Oncology Agents and Immunosuppressants
a0R2P000000TEqxUAG,Glycopyrronium bromide inhaler,A-01527,Seebri Breezhaler,Glycopyrronium bromide inhaler,Novartis,Chronic obstructive pulmonary disease,Decision,Glycopyrronium bromide inhaler (Seebri Breezhaler),/apptracker/s/application-public/a102P000008puMF,Respiratory System and Allergies
a0R2P000000LmiWUAS,Glycopyrronium with indacaterol,A-00377,Ultibro,Glycopyrronium with indacaterol,Novartis,Chronic obstructive pulmonary disease,Decision,Glycopyrronium with indacaterol (Ultibro),/apptracker/s/application-public/a102P000008puDi,Respiratory System and Allergies
a0R2P000000LmfwUAC,Imatinib,A-01346,Glivec,Imatinib,Novartis,Chronic myeloid leukemia (CML) - allow doses higher than 400mg (600mg max),Decision,Imatinib (Glivec),/apptracker/s/application-public/a102P000008ptpf,Oncology Agents and Immunosuppressants
a0R2P000000LmlmUAC,Imatinib Mesylate,A-01168,Glivec,Imatinib Mesylate,Novartis,"Chronic myeloid leukaemia in blast crisis, accelerated phase, or in chronic phase",Decision,Imatinib Mesylate (Glivec),/apptracker/s/application-public/a102P000008puj3,Oncology Agents and Immunosuppressants
a0ROZ000004JKgh2AG,Inclisiran,A-05097,LEQVIO,Inclisiran,NOVARTIS NEW ZEALAND LIMITED,"ASCVD, high-risk, adjunct to diet, exercise, statin and or ezetimibe",Seeking Clinical Advice,Inclisiran (LEQVIO),/apptracker/s/application-public/a10OZ000001xTyH,
a0ROZ00000DabhV2AR,Inclisiran,A-04999,LEQVIO,Inclisiran,NOVARTIS NEW ZEALAND LIMITED,heterozygous familial hypercholesterolemia.,Under Assessment,Inclisiran (LEQVIO),/apptracker/s/application-public/a10OZ000001vDb3,
a0R2P000000LmpQUAS,Indacaterol,A-01071,Onbrez,Indacaterol,Novartis,Chronic obstructive pulmonary disease,Decision,Indacaterol (Onbrez),/apptracker/s/application-public/a102P000008puCS,Respiratory System and Allergies
a0ROZ00000DabRN2AZ,Iptacopan,A-05317,FABHALTA,Iptacopan,NOVARTIS NEW ZEALAND LIMITED,Paroxysmal nocturnal haemoglobinuria (PNH),Under Assessment,Iptacopan (FABHALTA),/apptracker/s/application-public/a10OZ000004AYis,
a0ROZ000004CUOE2A4,Ketotifen fumarate,A-00817,Zaditen,Ketotifen fumarate,Novartis,Ocular allergy,Decision,Ketotifen fumarate (Zaditen),/apptracker/s/application-public/a102P000008pu7J,Sensory Organs
a0ROZ0000007fHl2AI,Letrozole,A-01166,Femara,Letrozole,Novartis,First line treatment of advanced breast cancer,Decision,Letrozole (Femara),/apptracker/s/application-public/a102P000008puDh,Oncology Agents and Immunosuppressants
a0R2P000000LmeSUAS,Letrozole,A-01159,Femara,Letrozole,Novartis,"Third line treatment of advanced, tamoxifen refractory, breast cancer",Decision,Letrozole (Femara),/apptracker/s/application-public/a102P000008ptt3,Oncology Agents and Immunosuppressants
a0ROZ000001jUar2AE,Midostaurin,A-00808 A-03077 A-03048 A-03279,,Midostaurin,"NOVARTIS NEW ZEALAND LIMITED, Clinician","Acute myeloid leukaemia (AML), FLT3-mutation positive",Decision,Midostaurin,/apptracker/s/application-public/a102P000008ptwH,Oncology Agents and Immunosuppressants
a0R2P000000WlMcUAK,Mycophenolate sodium,A-00798,Myfortic,Mycophenolate sodium,Novartis,Acute transplant rejection prophylaxis in patients receiving allogeneic renal transplants,Decision,Mycophenolate sodium (Myfortic),/apptracker/s/application-public/a102P000008puCQ,Oncology Agents and Immunosuppressants
a0R2P000000LmZbUAK,Nilotinib,A-00819,Tasigna,Nilotinib,Novartis,Chronic myeloid leukaemia (CML),Decision,Nilotinib (Tasigna),/apptracker/s/application-public/a102P000008puTl,Oncology Agents and Immunosuppressants
a0R2P000000LmXFUA0,Octreotide - short acting preparation,A-01220,Sandostatin,Octreotide - short acting preparation,Novartis,Removal of Special Authority,Decision,Octreotide - short acting preparation (Sandostatin),/apptracker/s/application-public/a102P000008ptvf,Oncology Agents and Immunosuppressants
a0R2P000000Lmr0UAC,Omalizumab,A-00895,Xolair,Omalizumab,Novartis,Severe allergic asthma,Decision,Omalizumab (Xolair),/apptracker/s/application-public/a102P000008puKW,Respiratory System and Allergies
a0ROZ0000007fKz2AI,Oral Impact,A-01131,Impact,Oral Impact,Novartis,Pre-operative oral supplement,Decision,Oral Impact (Impact),/apptracker/s/application-public/a102P000008pu1z,Special Foods
